Episode 194, Reward: -801.81, Average Reward: -100.23, Loss: 13.93, value_loss: 61.00
Episode 195, Reward: -804.40, Average Reward: -89.38, Loss: 79.51, value_loss: 16.36
Episode 196, Reward: -1016.55, Average Reward: -101.65, Loss: 36.08, value_loss: 42.42
Episode 197, Reward: -180.20, Average Reward: -90.10, Loss: 127.10, value_loss: 12.75
Episode 198, Reward: -349.10, Average Reward: -87.28, Loss: 110.75, value_loss: 17.46
Episode 199, Reward: -812.50, Average Reward: -90.28, Loss: 107.43, value_loss: 20.45
Episode 201, Reward: -682.80, Average Reward: -97.54, Loss: 12.59, value_loss: 61.86
Episode 202, Reward: -973.12, Average Reward: -97.31, Loss: 40.53, value_loss: 24.75
Episode 203, Reward: -457.10, Average Reward: -91.42, Loss: 61.07, value_loss: 16.01
Episode 204, Reward: -549.40, Average Reward: -91.57, Loss: 54.92, value_loss: 27.93
Episode 205, Reward: -474.20, Average Reward: -94.84, Loss: 92.41, value_loss: 22.66
Episode 206, Reward: -888.90, Average Reward: -88.89, Loss: 98.00, value_loss: 13.73
Episode 207, Reward: -535.20, Average Reward: -89.20, Loss: 71.88, value_loss: 7.86
Episode 208, Reward: -179.20, Average Reward: -89.60, Loss: 0.00, value_loss: 0.00
Episode 209, Reward: -802.40, Average Reward: -89.16, Loss: 45.87, value_loss: 14.41
Episode 210, Reward: -458.70, Average Reward: -91.74, Loss: 47.34, value_loss: 13.28
Episode 211, Reward: -440.70, Average Reward: -88.14, Loss: 55.59, value_loss: 8.62
Episode 212, Reward: -278.50, Average Reward: -92.83, Loss: 47.02, value_loss: 7.75
Episode 213, Reward: -636.60, Average Reward: -90.94, Loss: 73.80, value_loss: 11.96
Episode 214, Reward: -688.81, Average Reward: -98.40, Loss: 40.47, value_loss: 55.58
Episode 215, Reward: -473.50, Average Reward: -94.70, Loss: 60.42, value_loss: 20.80
Episode 216, Reward: -370.00, Average Reward: -92.50, Loss: 77.99, value_loss: 8.83
Episode 217, Reward: -285.30, Average Reward: -95.10, Loss: 62.63, value_loss: 10.03
Episode 218, Reward: -874.60, Average Reward: -87.46, Loss: 72.82, value_loss: 9.83
Episode 219, Reward: -527.40, Average Reward: -87.90, Loss: 68.05, value_loss: 9.63
Episode 220, Reward: -628.70, Average Reward: -89.81, Loss: 57.57, value_loss: 8.02
Episode 221, Reward: -734.10, Average Reward: -91.76, Loss: 40.57, value_loss: 12.46
Episode 222, Reward: -734.90, Average Reward: -91.86, Loss: 53.44, value_loss: 13.70
Episode 223, Reward: -269.70, Average Reward: -89.90, Loss: 92.25, value_loss: 12.46
Episode 224, Reward: -547.20, Average Reward: -91.20, Loss: 80.43, value_loss: 11.24
Episode 225, Reward: -173.80, Average Reward: -86.90, Loss: 74.01, value_loss: 9.07
Episode 226, Reward: -271.50, Average Reward: -90.50, Loss: 71.56, value_loss: 9.81
Episode 227, Reward: -268.90, Average Reward: -89.63, Loss: 62.43, value_loss: 13.94
Episode 228, Reward: -617.80, Average Reward: -88.26, Loss: 51.48, value_loss: 9.51
Episode 229, Reward: -357.00, Average Reward: -89.25, Loss: 41.63, value_loss: 8.85
Episode 230, Reward: -284.62, Average Reward: -94.87, Loss: 31.06, value_loss: 14.68
Episode 231, Reward: -173.20, Average Reward: -86.60, Loss: 42.21, value_loss: 8.43
Episode 232, Reward: -731.20, Average Reward: -91.40, Loss: 47.39, value_loss: 13.59
Episode 233, Reward: -1007.72, Average Reward: -100.77, Loss: 22.15, value_loss: 61.97
Episode 234, Reward: -894.80, Average Reward: -89.48, Loss: 157.32, value_loss: 25.29
Episode 235, Reward: -879.20, Average Reward: -87.92, Loss: 54.85, value_loss: 13.48
Episode 236, Reward: -375.70, Average Reward: -93.93, Loss: 14.27, value_loss: 33.83
Episode 237, Reward: -913.30, Average Reward: -91.33, Loss: 38.39, value_loss: 26.27
Episode 238, Reward: -363.70, Average Reward: -90.93, Loss: 90.56, value_loss: 14.69
Episode 239, Reward: -372.50, Average Reward: -93.13, Loss: 89.31, value_loss: 14.40
Episode 240, Reward: -911.80, Average Reward: -91.18, Loss: 79.67, value_loss: 15.98
Episode 241, Reward: -179.40, Average Reward: -89.70, Loss: 72.23, value_loss: 8.03
Episode 242, Reward: -914.30, Average Reward: -91.43, Loss: 60.52, value_loss: 16.13
Episode 243, Reward: -450.20, Average Reward: -90.04, Loss: 26.37, value_loss: 12.25
Episode 244, Reward: -826.60, Average Reward: -91.84, Loss: 46.75, value_loss: 18.11
Episode 245, Reward: -696.30, Average Reward: -87.04, Loss: 92.89, value_loss: 13.37
Episode 246, Reward: -435.70, Average Reward: -87.14, Loss: 75.74, value_loss: 9.44
Episode 247, Reward: -693.70, Average Reward: -86.71, Loss: 56.74, value_loss: 9.18
Episode 248, Reward: -523.60, Average Reward: -87.27, Loss: 35.65, value_loss: 9.45
Episode 249, Reward: -820.40, Average Reward: -91.16, Loss: 38.93, value_loss: 11.29
