Episode 30392, Reward: 43.40, Average Reward: 10.85, Loss: 306.61, value_loss: 615.18
Episode 30393, Reward: -134.40, Average Reward: -33.60, Loss: 478.91, value_loss: 965.45
Episode 30394, Reward: -82.52, Average Reward: -41.26, Loss: 46.55, value_loss: 220.58
Episode 30395, Reward: 76.60, Average Reward: 19.15, Loss: 511.13, value_loss: 1009.28
Episode 30396, Reward: 25.16, Average Reward: 2.80, Loss: 57.07, value_loss: 80.60
Episode 30398, Reward: -195.60, Average Reward: -24.45, Loss: 13.78, value_loss: 56.39
Episode 30402, Reward: 66.72, Average Reward: 7.41, Loss: 410.00, value_loss: 823.78
Episode 30404, Reward: -240.40, Average Reward: -26.71, Loss: 6.19, value_loss: 41.98
Episode 30406, Reward: -321.62, Average Reward: -35.74, Loss: 7.69, value_loss: 62.95
Episode 30409, Reward: -152.50, Average Reward: -30.50, Loss: 4.04, value_loss: 38.30
Episode 30410, Reward: 8.00, Average Reward: 4.00, Loss: 617.98, value_loss: 1191.50
Episode 30411, Reward: -8.00, Average Reward: -2.00, Loss: 343.87, value_loss: 710.49
Episode 30413, Reward: 18.70, Average Reward: 9.35, Loss: 244.40, value_loss: 445.55
Episode 30414, Reward: -161.80, Average Reward: -26.97, Loss: 13.25, value_loss: 47.07
Episode 30418, Reward: 14.70, Average Reward: 7.35, Loss: 348.30, value_loss: 646.45
Episode 30420, Reward: -303.50, Average Reward: -60.70, Loss: -35.19, value_loss: 149.35
Episode 30423, Reward: -470.05, Average Reward: -52.23, Loss: 4.89, value_loss: 43.36
Episode 30424, Reward: 71.35, Average Reward: 7.13, Loss: 439.99, value_loss: 897.30
Episode 30426, Reward: 39.60, Average Reward: 9.90, Loss: 604.14, value_loss: 1227.45
Episode 30427, Reward: -214.20, Average Reward: -53.55, Loss: 9.36, value_loss: 34.77
Episode 30428, Reward: -1.60, Average Reward: -0.80, Loss: 635.14, value_loss: 1565.55
Episode 30430, Reward: -42.56, Average Reward: -10.64, Loss: 55.87, value_loss: 100.71
Episode 30431, Reward: -303.85, Average Reward: -37.98, Loss: 6.45, value_loss: 45.69
Episode 30435, Reward: -545.90, Average Reward: -60.66, Loss: 13.71, value_loss: 39.46
Episode 30438, Reward: 55.08, Average Reward: 6.12, Loss: 267.58, value_loss: 519.38
Episode 30439, Reward: 0.30, Average Reward: 0.10, Loss: 250.86, value_loss: 468.86
Episode 30440, Reward: -2.40, Average Reward: -0.30, Loss: -13.56, value_loss: 85.78
Episode 30442, Reward: -644.70, Average Reward: -80.59, Loss: -6.21, value_loss: 17.99
Episode 30443, Reward: -218.21, Average Reward: -36.37, Loss: 73.09, value_loss: 142.25
Episode 30445, Reward: -93.20, Average Reward: -10.36, Loss: 205.37, value_loss: 411.25
