Episode 279, Reward: -0.73, Average Reward: -0.12, Loss: 0.57, value_loss: 0.03
Episode 281, Reward: -0.68, Average Reward: -0.11, Loss: 0.51, value_loss: 0.03
Episode 282, Reward: -0.52, Average Reward: -0.09, Loss: -0.18, value_loss: 0.29
Episode 283, Reward: -0.64, Average Reward: -0.11, Loss: 0.34, value_loss: 0.11
Episode 284, Reward: -0.53, Average Reward: -0.09, Loss: -0.05, value_loss: 0.39
Episode 286, Reward: -0.57, Average Reward: -0.09, Loss: 0.04, value_loss: 0.33
Episode 287, Reward: -0.64, Average Reward: -0.11, Loss: 0.34, value_loss: 0.09
Episode 288, Reward: -0.47, Average Reward: -0.08, Loss: 1.87, value_loss: 2.16
Episode 289, Reward: -0.57, Average Reward: -0.10, Loss: -0.27, value_loss: 0.30
Episode 292, Reward: -0.49, Average Reward: -0.08, Loss: 0.35, value_loss: 0.35
Episode 293, Reward: -0.57, Average Reward: -0.10, Loss: 0.48, value_loss: 0.10
Episode 295, Reward: -0.59, Average Reward: -0.10, Loss: 0.08, value_loss: 0.11
Episode 296, Reward: -0.68, Average Reward: -0.11, Loss: 0.61, value_loss: 0.08
Episode 297, Reward: -0.65, Average Reward: -0.11, Loss: 0.48, value_loss: 0.12
Episode 300, Reward: -0.61, Average Reward: -0.10, Loss: 0.72, value_loss: 0.42
Episode 301, Reward: -0.47, Average Reward: -0.08, Loss: 0.05, value_loss: 0.27
Episode 304, Reward: -0.72, Average Reward: -0.12, Loss: 0.52, value_loss: 0.04
Episode 305, Reward: -0.67, Average Reward: -0.11, Loss: 0.25, value_loss: 0.25
Episode 306, Reward: -0.74, Average Reward: -0.12, Loss: 0.33, value_loss: 0.03
Episode 307, Reward: -0.61, Average Reward: -0.10, Loss: 0.23, value_loss: 0.10
Episode 312, Reward: -0.70, Average Reward: -0.12, Loss: 0.46, value_loss: 0.02
Episode 313, Reward: -0.67, Average Reward: -0.11, Loss: 0.46, value_loss: 0.07
Episode 314, Reward: -0.75, Average Reward: -0.13, Loss: 0.37, value_loss: 0.04
Episode 319, Reward: -0.38, Average Reward: -0.06, Loss: 0.93, value_loss: 1.35
Episode 320, Reward: -0.51, Average Reward: -0.09, Loss: -0.10, value_loss: 0.45
Episode 326, Reward: -0.45, Average Reward: -0.08, Loss: -0.75, value_loss: 0.41
Episode 329, Reward: -0.63, Average Reward: -0.11, Loss: 0.52, value_loss: 0.15
